Holding Period(Years),Annualized Return,Buy Price,Buy Date,Sell Price,Sell Date
1.0,85.21553693830921,13.13,2012-12-18,1132.01,2013-12-04
1.00398406374502,83.25673009860984,13.2,2012-12-17,1132.01,2013-12-04
1.0079681274900398,80.86859958569511,13.35,2012-12-11,1131.99,2013-11-29
1.0119521912350598,79.75990151361245,13.3,2012-12-10,1131.99,2013-11-29
1.0159362549800797,77.97189806235205,13.37,2012-12-07,1131.99,2013-11-29
1.0199203187250996,76.75092073147111,13.35,2012-12-11,1132.01,2013-12-04
1.0239043824701195,76.29189980856029,13.2,2012-12-05,1131.99,2013-11-29
1.0278884462151394,78.58043802231305,12.59,2012-12-04,1131.99,2013-11-29
1.0318725099601593,77.18674625533995,12.6,2012-12-03,1131.99,2013-11-29
1.0358565737051793,76.90172328425336,12.43,2012-11-30,1131.99,2013-11-29
1.0398406374501992,75.96985575074523,12.37,2012-11-29,1131.99,2013-11-29
1.043824701195219,75.59439908649263,12.22,2012-11-28,1131.99,2013-11-29
1.047808764940239,75.2345708051487,12.07,2012-11-27,1131.99,2013-11-29
1.051792828685259,73.23336351638386,12.2,2012-11-26,1131.99,2013-11-29
1.0557768924302788,72.26409352827787,12.16,2012-11-23,1131.99,2013-11-29
1.0597609561752988,72.69311775037211,11.88,2012-11-22,1131.99,2013-11-29
1.0637450199203187,72.74188791320215,11.67,2012-11-21,1131.99,2013-11-29
1.0677290836653386,71.68467395614685,11.65,2012-11-20,1131.99,2013-11-29
1.0717131474103585,70.53572529140483,11.65,2012-11-19,1131.99,2013-11-29
1.0756972111553784,70.49787798387399,11.46,2012-11-16,1131.99,2013-11-29
1.0796812749003983,71.7956421629864,11.05,2012-11-15,1131.99,2013-11-29
1.0836653386454183,71.13921655586704,10.97,2012-11-14,1131.99,2013-11-29
1.0876494023904382,70.61788950071107,10.87,2012-11-13,1131.99,2013-11-29
1.091633466135458,69.51010593455347,10.87,2012-11-12,1131.99,2013-11-29
1.095617529880478,68.83793233168764,10.8,2012-11-09,1131.99,2013-11-29
1.099601593625498,67.71386089971257,10.81,2012-11-08,1131.99,2013-11-29
1.1035856573705178,66.72930727351475,10.8,2012-11-07,1131.99,2013-11-29
1.1075697211155378,66.0464203398839,10.74,2012-11-06,1131.99,2013-11-29
1.1115537848605577,64.82289714611744,10.78,2012-11-05,1131.99,2013-11-29
1.1155378486055776,64.4448970558681,10.67,2012-11-02,1131.99,2013-11-29
1.1195219123505975,63.103800405842534,10.74,2012-11-06,1132.01,2013-12-04
1.1235059760956174,61.95632765471783,10.78,2012-11-05,1132.01,2013-12-04
1.1274900398406376,61.608460896804544,10.67,2012-11-02,1132.01,2013-12-04
1.1314741035856575,60.045247313630774,10.8,2012-10-29,1131.99,2013-11-29
1.1354581673306774,63.39064456790763,10.0,2012-10-26,1131.99,2013-11-29
1.1394422310756973,59.54682001551917,10.55,2012-10-25,1131.99,2013-11-29
1.1434262948207172,57.811830197833714,10.0,2012-10-26,1055.0,2013-12-03
1.1474103585657371,60.65773344678442,10.0,2012-10-26,1132.01,2013-12-04
1.151394422310757,57.02281361088811,10.55,2012-10-25,1132.01,2013-12-04
1.155378486055777,52.504546109753186,11.4,2012-10-24,1132.01,2013-12-04
1.159362549800797,51.069416013713116,11.58,2012-10-23,1132.01,2013-12-04
1.1633466135458168,50.71502545847198,11.49,2012-10-22,1132.01,2013-12-04
1.1673306772908367,49.34833226001534,11.67,2012-10-19,1132.01,2013-12-04
1.1713147410358566,48.717276098606725,11.66,2012-10-15,1131.99,2013-11-29
1.1752988047808766,47.28985447387993,11.88,2012-10-17,1132.01,2013-12-04
1.1792828685258965,46.52578629228838,11.92,2012-10-16,1132.01,2013-12-04
1.1832669322709164,46.79443957594203,11.66,2012-10-15,1132.01,2013-12-04
1.1872509960159363,45.3755446119516,11.9,2012-10-12,1132.01,2013-12-04
1.1912350597609562,45.7079143338686,11.62,2012-10-08,1131.99,2013-11-29
1.1952191235059761,43.151378471512224,12.24,2012-10-10,1132.01,2013-12-04
1.199203187250996,43.35604625861096,11.99,2012-10-09,1132.01,2013-12-04
1.203187250996016,43.958674973899164,11.62,2012-10-08,1132.01,2013-12-04
