Date,Index,Price
2012-01-02,0,5.0
2012-01-03,1,5.29
2012-01-04,2,5.57
2012-01-05,3,6.65
2012-01-06,4,6.0
2012-01-09,5,6.3
2012-01-10,6,7.14
2012-01-11,7,7.0
2012-01-12,8,6.51
2012-01-13,9,6.6
2012-01-16,10,7.1
2012-01-17,11,6.0
2012-01-18,12,7.1
2012-01-19,13,6.22
2012-01-20,14,6.95
2012-01-23,15,6.52
2012-01-24,16,6.55
2012-01-25,17,6.31
2012-01-26,18,5.5
2012-01-27,19,5.88
2012-01-30,20,5.58
2012-01-31,21,5.3
2012-02-01,22,5.88
2012-02-02,23,6.28
2012-02-03,24,6.3
2012-02-06,25,5.6
2012-02-07,26,5.69
2012-02-08,27,5.87
2012-02-09,28,5.89
2012-02-10,29,5.88
2012-02-13,30,5.79
2012-02-14,31,4.89
2012-02-15,32,4.69
2012-02-16,33,4.51
2012-02-17,34,4.67
2012-02-20,35,4.44
2012-02-21,36,4.58
2012-02-22,37,4.51
2012-02-23,38,5.22
2012-02-24,39,4.95
2012-02-27,40,5.04
2012-02-28,41,4.88
2012-02-29,42,4.99
2012-03-01,43,5.0
2012-03-02,44,4.79
2012-03-05,45,5.06
2012-03-06,46,4.98
2012-03-07,47,4.93
2012-03-08,48,5.01
2012-03-09,49,4.93
2012-03-12,50,4.99
2012-03-13,51,5.3
2012-03-14,52,5.27
2012-03-15,53,5.39
2012-03-16,54,5.26
2012-03-19,55,4.83
2012-03-20,56,4.79
2012-03-21,57,4.96
2012-03-22,58,4.91
2012-03-23,59,4.78
2012-03-26,60,4.73
2012-03-27,61,4.84
2012-03-28,62,4.93
2012-03-29,63,4.84
2012-03-30,64,4.88
2012-04-02,65,5.04
2012-04-03,66,4.99
2012-04-04,67,5.01
2012-04-05,68,5.0
2012-04-06,69,4.99
2012-04-09,70,4.75
2012-04-10,71,4.8
2012-04-11,72,4.92
2012-04-12,73,4.93
2012-04-13,74,4.93
2012-04-16,75,4.98
2012-04-17,76,4.98
2012-04-18,77,5.16
2012-04-19,78,5.13
2012-04-20,79,5.38
2012-04-23,80,5.0
2012-04-24,81,5.08
2012-04-25,82,5.14
2012-04-26,83,4.98
2012-04-27,84,5.04
2012-04-30,85,5.0
2012-05-01,86,4.97
2012-05-02,87,5.06
2012-05-03,88,5.1
2012-05-04,89,5.07
2012-05-07,90,5.05
2012-05-08,91,5.02
2012-05-09,92,5.02
2012-05-10,93,4.87
2012-05-11,94,4.95
2012-05-14,95,4.93
2012-05-15,96,4.95
2012-05-16,97,5.04
2012-05-17,98,5.02
2012-05-18,99,5.07
2012-05-21,100,5.08
2012-05-22,101,5.03
2012-05-23,102,5.1
2012-05-24,103,5.12
2012-05-25,104,5.08
2012-05-28,105,5.07
2012-05-29,106,5.11
2012-05-30,107,5.14
2012-05-31,108,5.17
2012-06-01,109,5.22
2012-06-04,110,5.22
2012-06-05,111,5.37
2012-06-06,112,5.41
2012-06-07,113,5.53
2012-06-08,114,5.61
2012-06-11,115,5.52
2012-06-12,116,5.71
2012-06-13,117,5.86
2012-06-14,118,5.9
2012-06-15,119,6.42
2012-06-18,120,6.06
2012-06-19,121,6.46
2012-06-20,122,6.64
2012-06-21,123,6.64
2012-06-22,124,6.59
2012-06-25,125,6.26
2012-06-26,126,6.41
2012-06-27,127,6.49
2012-06-28,128,6.5
2012-06-29,129,6.52
2012-07-02,130,6.61
2012-07-03,131,6.44
2012-07-04,132,6.44
2012-07-05,133,6.6
2012-07-06,134,6.59
2012-07-09,135,6.94
2012-07-10,136,7.08
2012-07-11,137,7.14
2012-07-12,138,7.59
2012-07-13,139,7.59
2012-07-16,140,8.3
2012-07-17,141,8.55
2012-07-18,142,9.0
2012-07-19,143,8.76
2012-07-20,144,8.44
2012-07-23,145,8.59
2012-07-24,146,8.61
2012-07-25,147,8.64
2012-07-26,148,8.75
2012-07-27,149,8.83
2012-07-30,150,9.0
2012-07-31,151,9.28
2012-08-01,152,9.45
2012-08-02,153,10.44
2012-08-03,154,10.79
2012-08-06,155,10.84
2012-08-07,156,10.75
2012-08-08,157,10.99
2012-08-09,158,11.0
2012-08-10,159,11.32
2012-08-13,160,11.89
2012-08-14,161,12.25
2012-08-15,162,13.01
2012-08-16,163,13.42
2012-08-17,164,12.5
2012-08-20,165,10.05
2012-08-21,166,10.18
2012-08-22,167,9.96
2012-08-23,168,10.02
2012-08-24,169,10.37
2012-08-27,170,10.78
2012-08-28,171,11.0
2012-08-29,172,10.78
2012-08-30,173,10.65
2012-08-31,174,10.16
2012-09-03,175,10.55
2012-09-04,176,10.36
2012-09-05,177,10.99
2012-09-06,178,11.02
2012-09-07,179,11.03
2012-09-10,180,10.95
2012-09-11,181,11.04
2012-09-12,182,11.14
2012-09-13,183,11.3
2012-09-14,184,11.5
2012-09-17,185,11.85
2012-09-18,186,11.91
2012-09-19,187,12.32
2012-09-20,188,12.28
2012-09-21,189,12.19
2012-09-24,190,11.9
2012-09-25,191,11.75
2012-09-26,192,12.2
2012-09-27,193,12.22
2012-09-28,194,12.28
2012-10-01,195,12.14
2012-10-02,196,12.64
2012-10-03,197,12.9
2012-10-04,198,12.57
2012-10-05,199,12.5
2012-10-08,200,11.62
2012-10-09,201,11.99
2012-10-10,202,12.24
2012-10-11,203,12.09
2012-10-12,204,11.9
2012-10-15,205,11.66
2012-10-16,206,11.92
2012-10-17,207,11.88
2012-10-18,208,11.8
2012-10-19,209,11.67
2012-10-22,210,11.49
2012-10-23,211,11.58
2012-10-24,212,11.4
2012-10-25,213,10.55
2012-10-26,214,10.0
2012-10-29,215,10.8
2012-10-30,216,10.8
2012-10-31,217,11.0
2012-11-01,218,10.85
2012-11-02,219,10.67
2012-11-05,220,10.78
2012-11-06,221,10.74
2012-11-07,222,10.8
2012-11-08,223,10.81
2012-11-09,224,10.8
2012-11-12,225,10.87
2012-11-13,226,10.87
2012-11-14,227,10.97
2012-11-15,228,11.05
2012-11-16,229,11.46
2012-11-19,230,11.65
2012-11-20,231,11.65
2012-11-21,232,11.67
2012-11-22,233,11.88
2012-11-23,234,12.16
2012-11-26,235,12.2
2012-11-27,236,12.07
2012-11-28,237,12.22
2012-11-29,238,12.37
2012-11-30,239,12.43
2012-12-03,240,12.6
2012-12-04,241,12.59
2012-12-05,242,13.2
